keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'volcano',en,Hazard,#4287f5,#638ed4,3,0.1036074718994595
'volcano activity',en,Hazard,#4287f5,#638ed4,3,0.0711005379419956
'magma volcano',en,Hazard,#4287f5,#638ed4,2,0.062921964507761
'lava volcano',en,Hazard,#4287f5,#638ed4,3,0.0567523842943501
'volcano warning',en,Mitigation,#9e3215,#d64118,3,0.0531829311868412
'volcano erupt',en,Hazard,#4287f5,#3b4a63,2,0.0471788943812853
'volcano evacuation',en,Mitigation,#9e3215,#802d16,1,0.0469164232453816
'ash volcano',en,Hazard,#4287f5,#638ed4,3,0.0428337348397893
'volcano alert',en,Mitigation,#9e3215,#d64118,2,0.042478960786228
'volcano death',en,Impacts,#a89216,#87830f,3,0.0386670389250766
'volcanic spewing',en,Hazard,#4287f5,#3b4a63,1,0.0366000978981177
'volcano damage',en,Impacts,#a89216,#87830f,2,0.0310980314954929
'volcano rescue',en,Mitigation,#9e3215,#d64118,1,0.0289792245741289
'volcano victims',en,Impacts,#a89216,#87830f,1,0.0124521775511386
'volcano cleanup',en,Mitigation,#9e3215,#9e3215,1,0.0031003883485707
'volcano solidarity',en,Mitigation,#9e3215,#802d16,1,0.002786097361879415
'volcano tektonic',en,Causes,#679e2c,#477515,1,4.264567569666575e-06
