keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'volcano',en,Hazard,#4287f5,#638ed4,3,0.1036074718994595
'lava volcano',en,Hazard,#4287f5,#638ed4,3,0.0727411166501975
'volcano activity',en,Hazard,#4287f5,#638ed4,3,0.06978065326793047
'magma volcano',en,Hazard,#4287f5,#638ed4,2,0.0573842098315968
'volcano evacuation',en,Mitigation,#9e3215,#802d16,1,0.0469164232453816
'volcano warning',en,Mitigation,#9e3215,#d64118,2,0.045206046508815
'volcano erupt',en,Hazard,#4287f5,#3b4a63,2,0.0446027352240925
'ash volcano',en,Hazard,#4287f5,#638ed4,3,0.0428337348397893
'volcano alert',en,Mitigation,#9e3215,#d64118,2,0.042478960786228
'volcano death',en,Impacts,#a89216,#87830f,3,0.0386670389250766
'volcanic spewing',en,Hazard,#4287f5,#3b4a63,1,0.0366000978981177
'volcano damage',en,Impacts,#a89216,#87830f,3,0.0298841667711689
'volcano rescue',en,Mitigation,#9e3215,#d64118,1,0.0289792245741289
'volcano victims',en,Impacts,#a89216,#87830f,1,0.0117844709184678
'volcano solidarity',en,Mitigation,#9e3215,#802d16,1,0.0028455663439577
'volcano cleanup',en,Mitigation,#9e3215,#9e3215,1,0.0027950860818422
'volcano tektonic',en,Causes,#679e2c,#477515,1,3.624882434216589e-06
