index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.wimp.com/iceland-volcano-offers-hot-dogs/,https://www.wimp.com/iceland-volcano-offers-hot-dogs/,0,www.wimp.com,Iceland volcano offers up hot dogs.,"Is it just us, or is everyone obsessed with volcanoes?",https://www.wimp.com/wp-content/uploads/2021/04/cooking-hotdogs-on-lava-from-volcano-in-iceland-QLlVRL87Stg.jpg,2025-09-01T13:40:54Z,,"Is it just us, or is everyone obsessed with volcanoes?",,en,'volcano'
https://www.livescience.com/planet-earth/volcanos/see-what-would-happen-to-tokyo-if-mount-fuji-erupted-without-any-warning-in-new-ai-generated-video,https://www.livescience.com/planet-earth/volcanos/see-what-would-happen-to-tokyo-if-mount-fuji-erupted-without-any-warning-in-new-ai-generated-video,0,www.livescience.com,See what would happen to Tokyo if Mount Fuji erupted 'without any warning' in new AI-generated video,"Japanese government officials have released an AI video to show just how devastating an eruption at Mount Fuji could be. But don't worry, the dormant volcano is currently not at risk of blowing.",https://cdn.mos.cms.futurecdn.net/pm5CTCBEjBH5ZQWTsGMXLC.png,2025-09-02T16:43:17Z,,"A viral video created with artificial intelligence (AI)
 shows the catastrophic impact that a volcanic eruption at Mount Fuji could have on Tokyo, Japan, and its 37 million
 inhabitants. Fortunatel… [+4852 chars]",,en,'volcano'
https://abcnews.go.com/US/wireStory/kilaueas-off-eruption-back-hawaii-dramatic-lava-displays-125196006,https://abcnews.go.com/US/wireStory/kilaueas-off-eruption-back-hawaii-dramatic-lava-displays-125196006,0,abcnews.go.com,Kilauea's on-and-off eruption is back on in Hawaii. What to know about its dramatic lava displays,Hawaii’s Kilauea volcano has been repeatedly disgorging lava at its summit crater about once a week since late last year,https://i.abcnewsfe.com/a/ba31d9fc-3033-4883-aba4-20cdc04ba2fc/wirestory_7dc573493a669b48dd0b8763dcd0d6a2_16x9.jpg?w=1600,2025-09-02T21:26:27Z,,"HONOLULU -- Hawaii's Kilauea volcano has been shooting lava from its summit crater about once a week since late last year, delighting residents, visitors and online viewers alike with a firehose of m… [+5304 chars]",,en,'volcano'
https://nypost.com/2025/09/02/us-news/hawaiis-kilauea-volcano-resumes-eruption-shoots-out-fountains-of-lava-from-multiple-vents/,https://nypost.com/2025/09/02/us-news/hawaiis-kilauea-volcano-resumes-eruption-shoots-out-fountains-of-lava-from-multiple-vents/,0,nypost.com,"Hawaii’s Kilauea volcano resumes eruption, shoots out fountains of lava from multiple vents",It’s the 32nd time the volcano has released molten rock since December.,https://nypost.com/wp-content/uploads/sites/2/2025/09/newspress-collage-j8ijjzp82-1756848308915.jpg?quality=75&strip=all&1756833928&w=1024,2025-09-02T21:32:36Z,,"Hawaiis Kilauea volcano resumed erupting on Tuesday, firing lava 330 feet (100 meters) into the sky from its summit crater.
Its the 32nd time the volcano has released molten rock since December, whe… [+846 chars]",,en,'volcano erupt'
https://abcnews.go.com/Technology/wireStory/hawaiis-kilauea-volcano-erupts-lava-pouring-multiple-vents-125196571,https://abcnews.go.com/Technology/wireStory/hawaiis-kilauea-volcano-erupts-lava-pouring-multiple-vents-125196571,0,abcnews.go.com,Hawaii's Kilauea volcano erupts with lava pouring out from multiple vents,Hawaii’s Kilauea volcano has resumed erupting and is firing lava high into the sky from its summit crater,https://i.abcnewsfe.com/a/5b318b0b-ee87-470a-9353-eb259f7dff37/wirestory_30d7bbceefa65e665a5272f50cf849ca_16x9.jpg?w=1600,2025-09-02T23:33:47Z,,"HONOLULU -- Hawaii's Kilauea volcano resumed erupting on Tuesday, firing lava 330 feet (100 meters) into the sky from its summit crater. 
It's the 32nd time the volcano has released molten rock sinc… [+648 chars]",,en,'lava volcano'
https://www.wyff4.com/article/hawaiis-kilauea-volcano-erupts-september-2025/65962119,https://www.wyff4.com/article/hawaiis-kilauea-volcano-erupts-september-2025/65962119,0,www.wyff4.com,Kilauea volcano erupts again with lava shooting 330 feet,Hawaii's Kilauea volcano has resumed erupting and is firing lava high into the sky from its summit crater. See video of the eruption released by the U.S. Geological Survey,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/ap268b7c6facd867.jpg?crop=1.00xw:0.847xh;0,0.153xh&resize=1200:*",2025-09-03T01:21:28Z,,"(Video: USGS via CNN Newsource) —Hawaii's Kilauea volcano resumed erupting on Tuesday, firing lava 330 feet into the sky from its summit crater.
It's the 32nd time the volcano has released molten ro… [+636 chars]",,en,'volcano'
https://www.newser.com/story/374539/hawaiis-kilauea-volcano-erupts.html,https://www.newser.com/story/374539/hawaiis-kilauea-volcano-erupts.html,0,www.newser.com,Hawaii's Kilauea Volcano Erupts,"Hawaii's Kilauea volcano resumed erupting on Tuesday, firing lava 330 feet into the sky from its summit crater, the AP reports. It's the 32nd time the volcano has released molten rock since December, when its current eruption began. So far, all the lava from …",https://img2-azrcdn.newser.com/image/1631673-12-20250903003648.jpeg,2025-09-03T05:30:00Z,,"Hawaii's Kilauea volcano resumed erupting on Tuesday, firing lava 330 feet into the sky from its summit crater, the AP reports. It's the 32nd time the volcano has released molten rock since December,… [+404 chars]",,en,'volcano erupt'
https://petapixel.com/2025/09/03/japan-published-an-ai-generated-video-of-mount-fuji-erupting/,https://petapixel.com/2025/09/03/japan-published-an-ai-generated-video-of-mount-fuji-erupting/,0,petapixel.com,Japan Published an AI-Generated Video of Mount Fuji Erupting,"To teach its citizens about the dangers of a Mount Fuji eruption and the potential threat to the lives of 37 million Tokyo residents, Japan published a series of AI-generated video clips showing the volcano erupting.
[Read More]",https://petapixel.com/assets/uploads/2025/09/AI-Generated-Fuji-Eruption.jpg,2025-09-03T09:02:17Z,,"The Tokyo Metropolitan Government released this AI-generated video of Mount Fuji erupting.
To teach its citizens about the dangers of a Mount Fuji eruption and the potential threat to the lives of 3… [+2620 chars]",,en,'volcano erupt'
https://www.newsweek.com/kilauea-hawaii-volcano-eruption-active-lava-2123601,https://www.newsweek.com/kilauea-hawaii-volcano-eruption-active-lava-2123601,0,www.newsweek.com,"Hawaii's Kilauea Volcano Erupts, Firing Lava 100 Meters Into Air","Kilauea is one of the world's most active volcanoes, and this is the 32nd time it has erupted since December.",https://d.newsweek.com/en/full/2714762/kilauea-eruption.jpg,2025-09-03T09:08:59Z,https://web.archive.org/web/20250903093713/https://www.newsweek.com/kilauea-hawaii-volcano-eruption-active-lava-2123601,"Kīlauea on Hawaii resumed erupting on Tuesday, shooting lava fountains over 100 meters into the air for over 13 hours.
It marked the 32nd eruptive episode for one of the world's most active volcanoe… [+2828 chars]",,en,'volcano erupt'
https://biztoc.com/x/8a94b0458b667f72,https://biztoc.com/x/8a94b0458b667f72,0,biztoc.com,"Hawaii's Kilauea Volcano Erupts, Firing Lava 100 Meters Into Air","Voice is AI-generated. Inconsistencies may occur.
Kīlauea on Hawaii resumed erupting on Tuesday, shooting lava fountains over 100 meters into the air for over 13 hours.
It marked the 32nd eruptive episode for one of the world's most active volcanoes since the…",https://biztoc.com/cdn/8a94b0458b667f72_s.webp,2025-09-03T09:18:26Z,https://web.archive.org/web/20250903095320/https://biztoc.com/x/8a94b0458b667f72,"Voice is AI-generated. Inconsistencies may occur.Klauea on Hawaii resumed erupting on Tuesday, shooting lava fountains over 100 meters into the air for over 13 hours.It marked the 32nd eruptive episo… [+141 chars]",,en,'volcano erupt'
