domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
rpnradio.com,0.038461538461538464,0.1386750490563073,0.0,0.0,13.0
abcnews.go.com,0.053030303030303025,0.11944738074849849,0.0,0.0,11.0
slashdot.org,0.16666666666666666,0.3086066999241838,0.0,0.0,8.0
nypost.com,0.039999999999999994,0.1058300524425836,0.0,0.0,7.0
freerepublic.com,-0.04,0.06324555320336758,0.0,0.0,6.0
www.livescience.com,-0.05833333333333333,0.09036961141150639,0.0,0.0,6.0
www.bostonherald.com,0.05555555555555555,0.13608276348795434,0.0,0.0,6.0
www.forbes.com,-0.034999999999999996,0.07826237921249264,0.0,0.0,5.0
www.newsweek.com,0.03333333333333333,0.07453559924999298,0.0,0.0,5.0
biztoc.com,0.04666666666666667,0.16599866130651642,0.0,0.0,5.0
en.protothema.gr,0.05833333333333333,0.11666666666666667,0.0,0.0,4.0
www.ndtv.com,-0.11666666666666665,0.20207259421636903,0.0,0.0,3.0
www.bbc.com,-0.11666666666666665,0.10103629710818451,0.0,0.0,3.0
www.newser.com,0.0,0.0,0.0,0.0,3.0
twistedsifter.com,0.08333333333333333,0.14433756729740646,0.0,0.0,3.0
timesofindia.indiatimes.com,0.2222222222222222,0.3849001794597505,0.0,0.0,3.0
www.newscientist.com,-0.07777777777777777,0.13471506281091267,0.0,0.0,3.0
phys.org,0.0,0.0,0.0,0.0,3.0
www.cbsnews.com,-0.08,0.07211102550927978,0.0,0.0,3.0
petapixel.com,0.0,0.0,0.0,0.0,2.0
news.sky.com,0.3333333333333333,0.4714045207910317,0.0,0.0,2.0
www.nbcnews.com,0.0,0.0,0.0,0.0,2.0
theconversation.com,-0.0875,0.12374368670764581,0.0,0.0,2.0
www.sciencealert.com,0.0,0.0,0.0,0.0,2.0
www.discovermagazine.com,0.0,0.0,0.0,0.0,2.0
www.naturalnews.com,0.0,0.0,0.0,0.0,2.0
www.abc.net.au,-0.058333333333333334,0.41247895569215265,0.0,0.0,2.0
gizmodo.com,0.0,0.0,0.125,0.1767766952966369,2.0
brobible.com,-0.09999999999999999,0.1414213562373095,0.0,0.0,2.0
www.hurriyetdailynews.com,0.125,0.1767766952966369,0.0,0.0,2.0
www.nationalgeographic.com,0.0,1.0,0.0,1.0,1.0
www.metalsucks.net,0.0,1.0,0.0,1.0,1.0
www.wimp.com,0.0,1.0,0.0,1.0,1.0
www.liberation.fr,0.0,1.0,0.0,1.0,1.0
www.pbs.org,0.0,1.0,0.0,1.0,1.0
www.popsci.com,0.0,1.0,0.0,1.0,1.0
www.sciencedaily.com,0.0,1.0,0.0,1.0,1.0
www.shtfplan.com,0.0,1.0,0.0,1.0,1.0
www.sneakerfiles.com,0.0,1.0,0.0,1.0,1.0
www.staradvertiser.com,0.0,1.0,0.0,1.0,1.0
www.voanews.com,0.0,1.0,0.0,1.0,1.0
www.wbur.org,0.0,1.0,0.0,1.0,1.0
www.nzherald.co.nz,0.0,1.0,0.0,1.0,1.0
www.channelnewsasia.com,0.0,1.0,0.0,1.0,1.0
www.ladbible.com,0.0,1.0,0.0,1.0,1.0
www.insurancejournal.com,0.0,1.0,0.0,1.0,1.0
assetstore.unity.com,0.0,1.0,0.0,1.0,1.0
bringatrailer.com,0.0,1.0,0.0,1.0,1.0
consent.yahoo.com,0.0,1.0,0.0,1.0,1.0
economictimes.indiatimes.com,0.0,1.0,0.0,1.0,1.0
futurism.com,0.0,1.0,0.0,1.0,1.0
hollywoodlife.com,0.0,1.0,0.0,1.0,1.0
jalopnik.com,0.0,1.0,0.0,1.0,1.0
moneysavingmom.com,0.0,1.0,0.0,1.0,1.0
news.agu.org,0.0,1.0,0.0,1.0,1.0
pubs.rsc.org,0.0,1.0,0.0,1.0,1.0
shop.uncrate.com,0.0,1.0,0.0,1.0,1.0
theeconomiccollapseblog.com,0.0,1.0,0.0,1.0,1.0
www.activistpost.com,0.0,1.0,0.0,1.0,1.0
allthatsinteresting.com,0.0,1.0,0.0,1.0,1.0
www.coindesk.com,0.0,1.0,0.0,1.0,1.0
www.digitaljournal.com,0.0,1.0,0.0,1.0,1.0
www.droidgamers.com,0.0,1.0,0.0,1.0,1.0
www.highsnobiety.com,0.0,1.0,0.0,1.0,1.0
www.ibtimes.com,0.0,1.0,0.0,1.0,1.0
www.yahoo.com,0.0,1.0,0.0,1.0,1.0
